company_name,cin,other_name,other_cin
HEALTHINDIA INSURANCE TPA SERVICES PRIVATE LIMITED,U67200MH1997PTC105960,1. HEALTHINDIA INSURANCE TPA SERVICESPRIVATE LIMITED;BHAICHAND AMOLUK INSURANCE SERVICES PRIVATE LIMITED;HEALTH INDIA TPA SERVICES PRIVATE LIMITED;HEALTH INDIA TPA SERVICES PRIVATELIMITED;HEALTHINDIA INSURANCE TPA SERVICESPRIVATE LIMITED,
M&G GLOBAL SERVICES PRIVATE LIMITED,U74140MH2002PTC137446,10FA INDIA PRIVATE LIMITED;PRUDENTIAL GLOBAL SERVICES PRIVATE LIMITED;PRUDENTIAL GLOBAL SERVICES PRIVATELIMITED;PRUDENTIAL PROCESS MANAGEMENT SERVICES INDIA PRIVATE LIMITED;PRUDENTIAL PROCESS MANAGEMENT SERVICESINDIA PRIVATE LIMITED,
KODAK ALARIS INDIA PRIVATE LIMITED,U51101MH2013FTC247032,111616 OPCO (INDIA) PRIVATE LIMITED;Kodak Alaris India Private Limited,
1FB SUPPORT SERVICES PRIVATE LIMITED,U72200KA2006PTC040817,1FB Support Services Private Limited,
TATA 1MG TECHNOLOGIES PRIVATE LIMITED,U74140DL2015PTC279229,1MG Technologies Private Limited,
20CUBE LOGISTICS SOLUTIONS PRIVATE LIMITED,U74900TN2011PTC148864,20CUBE LOGISTICS SOLUTIONS PRIVATELIMITED;CUBE LOGISTICS SOLUTIONS PRIVATE LIMITED,U74900MH2011PTC218222
20CUBE WAREHOUSING AND DISTRIBUTION PRIVATE LIMITED,U63013TN2014PTC095910,20CUBE WAREHOUSING AND DISTRIBUTION PRIVATE LIMITE D;20CUBE WAREHOUSING AND DISTRIBUTIONPRIVATE LIMITED,
VIOM INFRA NETWORKS (MAHARASHTRA) LIMITE D,U64202DL2007PLC223153,21ST CENTURY INFRA TELE LIMITED;21ST CENTURY INFRA TELE PRIVATE LIMITED;VIOM INFRA NETWORKS (MAHARASHTRA) LIMITED;Viom Infra Networks Maharashtra Limited,
22 FEET TRIBAL WORLDWIDE PRIVATE LIMITED,U74900MH2009PTC310951,22 FEET COMMUNICATIONS PRIVATE LIMITED,U74900KA2009PTC049244
3 GEN CONSULTING PRIVATE LIMITED,U74900MH2014PTC258066,3 Gen Consulting Private Limited,
FLIPKART ADVANZ PRIVATE LIMITED,U74110KA2015FTC111824,30K FINANCE PRIVATE LIMITED,U65191KA2015FTC111824;U65191MH2015FTC265820
360 DEGREE CLOUD TECHNOLOGIES PRIVATE LIMITED,U72900HR2011PTC043203,360 DEGREE CLOUD TECHNOLOGIES PRIVATELIMITED;CLOUDYNAMIC TECHNOLOGIES PRIVATE LIMITED,
360 ONE INVESTMENT ADVISER AND TRUSTEE SERVICES LIMITED,U74990MH2010PLC211334,360 ONE INVESTMENT ADVISER AND TRUSTEESERVICES LIMITED;IIFL Investment Adviser and Trustee Services Limited;IIFL INVESTMENT ADVISER AND TRUSTEE SERVICES LIMTED;IIFL INVESTMENT ADVISER AND TRUSTEESERVICES LIMITED;IIFL TRUSTEE SERVICES LIMITED,
DASSAULT SYSTEMES GLOBAL SERVICES PRIVATE LIMITED,U72900PN2014PTC197626,3D PLM Global Services Private Limited;DASSAULT SYSTEMES GLOBAL SERVICESPRIVATE LIMITED,U72900MH2014PTC259502
